2020_01_20_19_52

[19:31:52.23] 开始加载UI
[19:31:53.05] 开始获取一言
[19:31:53.39] 获取一言成功，耗时：00:00:00.3467842
[19:31:53.40] UI加载完成，耗时：00:00:01.1682763
[19:31:59.02] 开始获取一言
[19:31:59.16] 获取一言成功，耗时：00:00:00.1359602
[19:32:02.49] 开始获取一言
[19:32:02.69] 获取一言成功，耗时：00:00:00.1990774
[19:32:05.89] 开始获取一言
[19:32:06.07] 获取一言成功，耗时：00:00:00.1831139
[19:32:08.24] 开始获取一言
[19:32:08.43] 获取一言成功，耗时：00:00:00.1908842
[19:32:21.37] 开始获取一言
[19:32:21.53] 获取一言成功，耗时：00:00:00.1569018
[19:32:30.05] 开始获取一言
[19:32:30.27] 获取一言成功，耗时：00:00:00.2188648
[19:32:34.98] 开始获取一言
[19:32:35.21] 获取一言成功，耗时：00:00:00.2278540
[19:32:39.60] 开始获取一言
[19:32:39.80] 获取一言成功，耗时：00:00:00.1968748
