2020_01_20_19_30

[19:30:30.87] 开始加载UI
[19:30:32.37] 开始获取一言
[19:30:32.94] 获取一言成功，耗时：00:00:00.5666480
[19:30:32.94] UI加载完成，耗时：00:00:02.0707150
[19:30:39.22] 开始获取一言
[19:30:39.36] 获取一言成功，耗时：00:00:00.1437038
[19:30:43.69] 开始获取一言
[19:30:43.94] 获取一言成功，耗时：00:00:00.2458884
[19:30:47.79] 开始获取一言
[19:30:47.99] 获取一言成功，耗时：00:00:00.1969047
[19:30:51.71] 开始获取一言
[19:30:51.85] 获取一言成功，耗时：00:00:00.1380904
[19:30:58.41] 开始获取一言
[19:30:58.61] 获取一言成功，耗时：00:00:00.2038721
[19:31:03.43] 开始获取一言
[19:31:03.58] 获取一言成功，耗时：00:00:00.1479869
[19:31:10.47] 开始获取一言
[19:31:10.66] 获取一言成功，耗时：00:00:00.1988763
