2020_01_14_13_32

[13:51:32.93] 开始加载UI
[13:51:33.75] 开始获取假期表
[13:51:33.75] 开始获取一言
[13:51:34.26] 获取一言成功，耗时：00:00:00.5086884
[13:51:34.27] UI加载完成，耗时：00:00:01.3391762
[13:51:45.27] 开始获取假期表
[13:51:45.27] 开始获取一言
[13:51:45.40] 获取一言成功，耗时：00:00:00.1270346
[13:51:52.45] 开始获取假期表
[13:51:52.45] 开始获取一言
[13:51:52.64] 获取一言成功，耗时：00:00:00.1864466
[13:51:59.58] 开始获取假期表
[13:51:59.58] 开始获取一言
[13:51:59.72] 获取一言成功，耗时：00:00:00.1406939
[13:52:10.77] 开始获取假期表
[13:52:10.77] 开始获取一言
[13:52:10.92] 获取一言成功，耗时：00:00:00.1446067
[13:52:21.56] 开始获取假期表
[13:52:21.56] 开始获取一言
[13:52:21.71] 获取一言成功，耗时：00:00:00.1440635
[13:52:33.65] 开始获取假期表
[13:52:33.65] 开始获取一言
[13:52:33.78] 获取一言成功，耗时：00:00:00.1294911
[13:53:20.40] 开始获取假期表
[13:53:20.40] 开始获取一言
[13:53:20.54] 获取一言成功，耗时：00:00:00.1427917
[13:54:58.07] 开始获取假期表
[13:54:58.07] 开始获取一言
[13:54:58.29] 获取一言成功，耗时：00:00:00.2146454
