2020_01_08_19_25

[19:22:25.51] 开始加载UI
[19:22:26.72] 开始获取一言
[19:22:27.19] 获取一言成功，耗时：00:00:00.4687095
[19:22:27.21] UI加载完成，耗时：00:00:01.7009473
[19:22:47.83] 开始获取一言
[19:22:48.07] 获取一言成功，耗时：00:00:00.2368530
[19:23:02.99] 开始获取一言
[19:23:03.20] 获取一言成功，耗时：00:00:00.1918803
[19:24:02.17] 开始获取一言
[19:24:02.41] 获取一言成功，耗时：00:00:00.2318568
[19:24:12.93] 开始获取一言
[19:24:13.13] 获取一言成功，耗时：00:00:00.1998750
[19:25:47.54] 开始获取一言
[19:25:47.73] 获取一言成功，耗时：00:00:00.1768923
[19:26:56.27] 开始获取一言
[19:26:56.50] 获取一言成功，耗时：00:00:00.2248599
[19:27:09.21] 开始获取一言
[19:27:09.60] 获取一言成功，耗时：00:00:00.3747647
[19:27:21.45] 开始获取一言
[19:27:21.78] 获取一言成功，耗时：00:00:00.3198075
