2020_01_20_19_14

[19:28:14.47] 开始加载UI
[19:28:15.50] 开始获取一言
[19:28:15.94] 获取一言成功，耗时：00:00:00.4427370
[19:28:15.95] UI加载完成，耗时：00:00:01.4760847
[19:28:23.12] 开始获取一言
[19:28:23.33] 获取一言成功，耗时：00:00:00.2039411
[19:28:27.87] 开始获取一言
[19:28:28.09] 获取一言成功，耗时：00:00:00.2198613
[19:28:33.65] 开始获取一言
[19:28:33.89] 获取一言成功，耗时：00:00:00.2468456
[19:28:39.85] 开始获取一言
[19:28:39.99] 获取一言成功，耗时：00:00:00.1369047
