2020_01_20_19_06

[19:29:06.78] 开始加载UI
[19:29:07.88] 开始获取一言
[19:29:08.29] 获取一言成功，耗时：00:00:00.4097455
[19:29:08.31] UI加载完成，耗时：00:00:01.5250536
[19:29:13.62] 开始获取一言
[19:29:13.82] 获取一言成功，耗时：00:00:00.1969191
[19:29:17.21] 开始获取一言
[19:29:17.39] 获取一言成功，耗时：00:00:00.1828864
[19:29:22.78] 开始获取一言
[19:29:23.02] 获取一言成功，耗时：00:00:00.2368590
[19:29:26.15] 开始获取一言
[19:29:26.29] 获取一言成功，耗时：00:00:00.1439097
[19:29:31.59] 开始获取一言
[19:29:31.80] 获取一言成功，耗时：00:00:00.2148673
