2020_01_08_19_13

[19:10:13.34] 开始加载UI
[19:10:15.50] 开始获取一言
[19:10:16.25] 获取一言成功，耗时：00:00:00.7555349
[19:10:16.26] UI加载完成，耗时：00:00:02.9192004
[19:11:00.73] 开始获取一言
[19:11:00.96] 获取一言成功，耗时：00:00:00.2188624
[19:11:06.15] 开始获取一言
[19:11:06.43] 获取一言成功，耗时：00:00:00.2658358
[19:20:40.80] 开始获取一言
[19:20:41.04] 获取一言成功，耗时：00:00:00.2388534
