2020_01_21_18_01

[18:00:01.33] 开始加载UI
[18:00:01.81] 开始获取一言
[18:00:02.11] 获取一言成功，耗时：00:00:00.2987168
[18:00:02.11] UI加载完成，耗时：00:00:00.7729282
[18:00:38.41] 开始获取一言
[18:00:38.58] 获取一言成功，耗时：00:00:00.1621886
[18:01:57.00] 开始获取一言
[18:01:57.21] 获取一言成功，耗时：00:00:00.2112855
[18:02:09.07] 开始获取一言
[18:02:09.23] 获取一言成功，耗时：00:00:00.1653292
[18:02:21.12] 开始获取一言
[18:02:21.35] 获取一言成功，耗时：00:00:00.2302772
[18:04:21.52] 开始获取一言
[18:04:21.77] 获取一言成功，耗时：00:00:00.2452966
