2020_01_08_20_34

[20:38:34.04] 开始加载UI
[20:38:35.24] 开始获取一言
[20:38:35.61] 获取一言成功，耗时：00:00:00.3607770
[20:38:35.61] UI加载完成，耗时：00:00:01.5720305
[20:38:50.67] 开始获取一言
[20:38:50.89] 获取一言成功，耗时：00:00:00.2111625
[20:39:00.26] 开始获取一言
[20:39:01.47] 获取一言成功，耗时：00:00:01.2146566
[20:41:26.86] 开始获取一言
[20:41:27.04] 获取一言成功，耗时：00:00:00.1755160
[20:41:47.26] 开始获取一言
[20:41:47.47] 获取一言成功，耗时：00:00:00.2028804
[20:42:06.10] 开始获取一言
[20:42:06.30] 获取一言成功，耗时：00:00:00.2037254
[20:42:16.27] 开始获取一言
[20:42:16.50] 获取一言成功，耗时：00:00:00.2308552
