2020_01_21_15_42

[15:17:42.16] 开始加载UI
[15:17:43.03] 开始获取一言
[15:17:43.53] 获取一言成功，耗时：00:00:00.4967829
[15:17:43.54] UI加载完成，耗时：00:00:01.3702453
[15:18:46.39] 开始获取一言
[15:18:46.58] 获取一言成功，耗时：00:00:00.1962478
[15:22:49.73] 开始获取一言
[15:22:49.93] 获取一言成功，耗时：00:00:00.1978343
[15:22:57.88] 开始获取一言
[15:22:58.06] 获取一言成功，耗时：00:00:00.1855408
[15:23:33.92] 开始获取一言
[15:23:34.05] 获取一言成功，耗时：00:00:00.1297192
