2020_01_21_12_27

[12:59:27.37] 开始加载UI
[12:59:28.67] 开始获取一言
[12:59:29.34] 获取一言成功，耗时：00:00:00.6745813
[12:59:29.36] UI加载完成，耗时：00:00:01.9817944
[12:59:37.98] 开始获取一言
[12:59:38.13] 获取一言成功，耗时：00:00:00.1487884
[13:00:08.32] 开始获取一言
[13:00:08.46] 获取一言成功，耗时：00:00:00.1479085
[13:00:27.80] 开始获取一言
[13:00:28.00] 获取一言成功，耗时：00:00:00.1998756
