2020_01_13_22_10

[22:45:10.08] 开始加载UI
[22:45:12.52] 开始获取一言
[22:45:13.42] 获取一言成功，耗时：00:00:00.9054404
[22:45:13.52] UI加载完成，耗时：00:00:03.4408688
[22:45:36.23] 开始获取一言
[22:45:36.47] 获取一言成功，耗时：00:00:00.2308577
[22:45:52.93] 开始获取一言
[22:45:53.13] 获取一言成功，耗时：00:00:00.2024136
[22:45:59.71] 开始获取一言
[22:45:59.90] 获取一言成功，耗时：00:00:00.1899297
