2020_01_21_12_03

[12:13:03.51] 开始加载UI
[12:13:04.33] 开始获取一言
[12:13:04.86] 获取一言成功，耗时：00:00:00.5316699
[12:13:04.87] UI加载完成，耗时：00:00:01.3611518
[12:14:14.10] 开始获取一言
[12:14:14.30] 获取一言成功，耗时：00:00:00.2084387
[12:14:43.96] 开始获取一言
[12:14:44.11] 获取一言成功，耗时：00:00:00.1500391
[12:14:48.60] 开始获取一言
[12:14:48.80] 获取一言成功，耗时：00:00:00.1948704
