2020_02_07_21_38

[21:02:38.11] 开始加载UI
[21:02:38.52] UI加载完成，耗时：00:00:00.4056552
[21:02:38.52] 开始获取一言
[21:02:38.52] 尝试下载丁香园界面……
[21:02:38.52] 检查更新……
[21:02:38.52] 尝试第一更新源……
[21:02:38.90] 获取一言成功，耗时：00:00:00.3817685
[21:02:41.57] 检查更新完成。
[21:02:51.38] 开始获取一言
[21:02:51.39] 尝试下载丁香园界面……
[21:02:51.54] 获取一言成功，耗时：00:00:00.1579036
[21:03:01.68] 开始获取一言
[21:03:01.69] 尝试下载丁香园界面……
[21:03:01.89] 获取一言成功，耗时：00:00:00.2088699
